iter	MultiRMSE
0	168.8975186
1	160.5282081
2	152.5803236
3	145.0376544
4	137.8704426
5	131.0577405
6	124.5935181
7	118.4520496
8	112.6222137
9	107.0843983
10	101.8281584
11	96.83596654
12	92.10011228
13	87.60255991
14	83.32984669
15	79.27529558
16	75.42033485
17	71.76231987
18	68.28943876
19	64.98435314
20	61.86151463
21	58.89638209
22	56.07989258
23	53.41200352
24	50.87599494
25	48.47772509
26	46.20106611
27	44.04405615
28	42.00182525
29	40.05014438
30	38.21426552
31	36.48080247
32	34.8234
33	33.25798582
34	31.77632182
35	30.3858371
36	29.0534763
37	27.81205147
38	26.62510273
39	25.49999286
40	24.4480117
41	23.4488675
42	22.48945257
43	21.59744988
44	20.74853776
45	19.95701411
46	19.20618405
47	18.50793908
48	17.85423803
49	17.2113005
50	16.62736684
51	16.08331811
52	15.55989117
53	15.08891559
54	14.63833121
55	14.22514294
56	13.82986765
57	13.4497407
58	13.08814051
59	12.76500657
60	12.46372574
61	12.17807818
62	11.91078308
63	11.66417317
64	11.4295582
65	11.2121964
66	11.01679469
67	10.82361556
68	10.64999413
69	10.4944568
70	10.34863926
71	10.19504445
72	10.06734475
73	9.92885956
74	9.804232409
75	9.684375872
76	9.581997924
77	9.493586313
78	9.39253278
79	9.320334163
80	9.251489556
81	9.165436615
82	9.0973784
83	9.027119189
84	8.961132101
85	8.890312613
86	8.823234005
87	8.774919091
88	8.728500573
89	8.687608774
90	8.636115543
91	8.552398471
92	8.509788144
93	8.476693639
94	8.44737906
95	8.417162989
96	8.382777386
97	8.343084488
98	8.304747664
99	8.263443065
100	8.228321594
101	8.191411127
102	8.149103157
103	8.120938541
104	8.098766464
105	8.059890326
106	8.02727619
107	8.007962448
108	7.974919664
109	7.948280622
110	7.931963554
111	7.911467158
112	7.887848469
113	7.875393028
114	7.827926267
115	7.808602048
116	7.78360289
117	7.770530833
118	7.742371246
119	7.728320563
120	7.719949233
121	7.70522048
122	7.683015048
123	7.659206844
124	7.634703024
125	7.603074699
126	7.563874095
127	7.55058833
128	7.533839111
129	7.51396984
130	7.504037377
131	7.48907894
132	7.475445525
133	7.45983924
134	7.445723182
135	7.434524136
136	7.41857281
137	7.395040597
138	7.383833693
139	7.367193697
140	7.352544243
141	7.327934297
142	7.312567207
143	7.296879338
144	7.278851236
145	7.271848364
146	7.259591475
147	7.229265769
148	7.211998197
149	7.205583131
150	7.190981798
151	7.174341987
152	7.16289081
153	7.142608563
154	7.123233677
155	7.107612576
156	7.092606597
157	7.075750927
158	7.056410923
159	7.038152778
160	7.025448294
161	7.016787449
162	7.00889971
163	7.000332678
164	6.992586704
165	6.985340625
166	6.972407629
167	6.957196826
168	6.939811827
169	6.919508673
170	6.914849076
171	6.907733173
172	6.885930266
173	6.854336591
174	6.839280071
175	6.828109558
176	6.80942637
177	6.79012444
178	6.774103804
179	6.760188593
180	6.751150857
181	6.734597528
182	6.717243693
183	6.710542472
184	6.681451729
185	6.663868116
186	6.653146441
187	6.645539458
188	6.635248595
189	6.621033482
190	6.598865581
191	6.593016036
192	6.582009789
193	6.573205787
194	6.566241161
195	6.548965657
196	6.544331116
197	6.531491153
198	6.524555611
199	6.517206892
200	6.511823581
201	6.492858747
202	6.48407064
203	6.453115857
204	6.445540023
205	6.435476112
206	6.422132481
207	6.4092274
208	6.400878783
209	6.396330141
210	6.386366222
211	6.376702
212	6.364880209
213	6.348242789
214	6.333813778
215	6.32636613
216	6.305254941
217	6.299184117
218	6.288167431
219	6.280674378
220	6.259814703
221	6.249719977
222	6.242143423
223	6.22125039
224	6.209767008
225	6.191350446
226	6.181843389
227	6.169093996
228	6.16027437
229	6.151348076
230	6.141296606
231	6.129100802
232	6.123423944
233	6.103290541
234	6.092708581
235	6.083418456
236	6.07677761
237	6.069428899
238	6.064768205
239	6.059311341
240	6.054686624
241	6.046739715
242	6.040814007
243	6.022187512
244	6.014552246
245	6.004445546
246	6.001044984
247	5.988992628
248	5.981724129
249	5.966200403
250	5.960172393
251	5.952909579
252	5.945982428
253	5.942855609
254	5.923483676
255	5.914148091
256	5.905214131
257	5.891753301
258	5.874196223
259	5.870736924
260	5.866106005
261	5.854682411
262	5.840976885
263	5.832236214
264	5.829725203
265	5.822938335
266	5.815674784
267	5.805053754
268	5.799007401
269	5.792490476
270	5.785125056
271	5.77872475
272	5.764308247
273	5.744127964
274	5.73617678
275	5.730539072
276	5.715668944
277	5.702785222
278	5.699462845
