iter	Passed	Remaining
0	48	48726
1	80	40375
2	116	38550
3	147	36696
4	177	35375
5	207	34435
6	242	34349
7	271	33723
8	307	33844
9	337	33419
10	370	33297
11	398	32796
12	425	32274
13	452	31872
14	480	31561
15	508	31291
16	538	31134
17	569	31090
18	599	30967
19	634	31091
20	661	30849
21	696	30962
22	726	30877
23	756	30772
24	783	30549
25	813	30463
26	842	30352
27	870	30218
28	895	29987
29	930	30072
30	954	29835
31	983	29756
32	1011	29652
33	1038	29503
34	1066	29406
35	1091	29226
36	1118	29114
37	1145	28987
38	1171	28861
39	1198	28759
40	1227	28716
41	1258	28699
42	1296	28851
43	1331	28924
44	1361	28902
45	1390	28835
46	1424	28892
47	1461	28992
48	1490	28926
49	1533	29128
50	1574	29288
51	1601	29200
52	1637	29262
53	1670	29261
54	1710	29384
55	1743	29397
56	1771	29305
57	1797	29201
58	1833	29237
59	1871	29323
60	1908	29371
61	1943	29404
62	1980	29453
63	2018	29524
64	2062	29662
65	2101	29743
66	2136	29754
67	2166	29694
68	2201	29702
69	2230	29629
70	2261	29592
71	2297	29614
72	2332	29621
73	2370	29659
74	2405	29668
75	2451	29799
76	2482	29755
77	2514	29726
78	2551	29748
79	2580	29680
80	2610	29612
81	2648	29646
82	2680	29609
83	2720	29663
84	2756	29669
85	2792	29681
86	2824	29636
87	2854	29578
88	2892	29602
89	2918	29505
90	2953	29505
91	2983	29448
92	3014	29396
93	3051	29408
94	3083	29378
95	3115	29336
96	3147	29300
97	3176	29238
98	3208	29200
99	3239	29157
100	3270	29113
101	3302	29073
102	3336	29057
103	3371	29045
104	3411	29082
105	3448	29082
106	3473	28988
107	3504	28943
108	3536	28906
109	3565	28846
110	3592	28769
111	3624	28734
112	3653	28676
113	3687	28658
114	3721	28638
115	3754	28609
116	3785	28568
117	3813	28501
118	3847	28480
119	3886	28499
120	3916	28453
121	3945	28396
122	3976	28354
123	4012	28346
124	4045	28316
125	4079	28298
126	4110	28258
127	4140	28209
128	4168	28143
129	4199	28102
130	4237	28109
131	4262	28026
132	4291	27977
133	4331	27991
134	4359	27934
135	4389	27885
136	4417	27828
137	4454	27822
138	4485	27781
139	4515	27740
140	4545	27694
141	4574	27638
142	4603	27588
143	4643	27604
144	4675	27567
145	4706	27527
146	4731	27458
147	4767	27444
148	4793	27375
149	4821	27322
150	4857	27311
151	4885	27253
152	4919	27231
153	4952	27204
154	4985	27180
155	5017	27147
156	5049	27112
157	5086	27107
158	5124	27106
159	5161	27098
160	5193	27061
161	5225	27030
162	5252	26970
163	5283	26934
164	5321	26932
165	5360	26930
166	5388	26879
167	5420	26844
168	5448	26789
169	5480	26756
170	5511	26721
171	5548	26710
172	5590	26726
173	5627	26715
174	5657	26669
175	5686	26621
176	5717	26583
177	5753	26569
178	5787	26545
179	5816	26498
180	5848	26465
181	5880	26431
182	5912	26397
183	5947	26376
184	5984	26364
185	6013	26316
186	6043	26272
187	6084	26282
188	6117	26250
189	6148	26213
190	6177	26166
191	6207	26123
192	6240	26094
193	6268	26042
194	6299	26005
195	6337	25997
196	6366	25951
197	6410	25965
198	6441	25929
199	6475	25902
200	6506	25863
201	6535	25818
202	6565	25778
203	6608	25787
204	6637	25740
205	6676	25733
206	6711	25710
207	6743	25678
208	6773	25637
209	6801	25586
210	6834	25555
211	6865	25520
212	6906	25517
213	6946	25514
214	6989	25519
215	7026	25502
216	7064	25491
217	7102	25477
218	7134	25443
219	7164	25400
220	7205	25397
221	7236	25360
222	7268	25324
223	7303	25299
224	7329	25246
225	7361	25209
226	7393	25175
227	7437	25183
228	7471	25153
229	7499	25105
230	7529	25067
231	7569	25057
232	7600	25018
233	7637	25002
234	7676	24990
235	7705	24946
236	7734	24901
237	7763	24857
238	7797	24826
239	7834	24810
240	7863	24763
241	7895	24730
242	7928	24699
243	7958	24659
244	7990	24624
245	8022	24587
246	8051	24547
247	8081	24504
248	8108	24455
249	8137	24413
250	8166	24368
251	8195	24324
252	8223	24281
253	8252	24237
254	8281	24194
255	8315	24166
256	8352	24148
257	8383	24111
258	8423	24098
259	8454	24062
260	8486	24028
261	8520	23999
262	8549	23957
263	8582	23926
264	8616	23898
265	8647	23861
266	8673	23810
267	8705	23778
268	8738	23747
269	8772	23718
270	8807	23691
271	8836	23649
272	8872	23628
273	8907	23602
274	8941	23573
275	8975	23544
276	9009	23514
277	9041	23482
278	9072	23444
279	9107	23418
280	9141	23389
281	9171	23352
282	9208	23331
283	9239	23293
284	9270	23256
285	9305	23230
286	9335	23192
287	9365	23153
288	9391	23104
289	9421	23066
290	9454	23034
291	9488	23005
292	9521	22975
293	9549	22932
294	9595	22930
295	9625	22893
296	9657	22859
297	9685	22816
298	9719	22787
299	9752	22756
300	9791	22739
301	9818	22694
302	9848	22654
303	9880	22620
304	9918	22600
305	9951	22569
306	9996	22566
307	10035	22547
308	10078	22539
309	10108	22500
310	10139	22463
311	10168	22423
312	10196	22379
313	10224	22337
314	10256	22304
315	10286	22265
316	10314	22222
317	10355	22209
318	10383	22167
319	10413	22128
320	10450	22105
321	10487	22083
322	10518	22047
323	10556	22024
324	10589	21993
325	10624	21965
326	10663	21946
327	10692	21905
328	10722	21868
329	10752	21831
330	10784	21797
331	10822	21774
332	10851	21735
333	10884	21703
334	10914	21665
335	10945	21630
336	10988	21618
337	11020	21585
338	11051	21549
339	11087	21522
340	11126	21501
341	11162	21475
342	11198	21450
343	11229	21413
344	11259	21377
345	11290	21340
346	11323	21308
347	11350	21266
348	11382	21231
349	11412	21195
350	11442	21157
351	11470	21116
352	11498	21075
353	11528	21038
354	11565	21012
355	11598	20981
356	11629	20945
357	11660	20910
358	11699	20890
359	11732	20856
360	11759	20815
361	11788	20776
362	11825	20751
363	11854	20713
364	11887	20681
365	11919	20647
366	11948	20609
367	11982	20579
368	12020	20555
369	12049	20516
370	12088	20495
371	12128	20475
372	12155	20432
373	12182	20390
374	12213	20355
375	12250	20330
376	12281	20295
