Future_Step,MSE,RMSE,MAE,MAPE(%)
1,5.2812,2.2981,0.6157,inf
2,10.2398,3.2,0.7455,inf
3,17.7134,4.2087,0.865,inf
4,27.4906,5.2432,0.9831,inf
5,38.9759,6.2431,1.0953,inf
6,51.2024,7.1556,1.1986,inf
7,63.583,7.9739,1.3009,inf
8,76.0591,8.7212,1.398,inf
9,88.315,9.3976,1.4868,inf
10,100.2666,10.0133,1.5712,inf
11,112.5062,10.6069,1.6495,inf
12,124.5782,11.1615,1.7229,inf
13,136.0503,11.6641,1.7932,inf
14,147.3957,12.1407,1.8675,inf
15,158.1616,12.5762,1.9374,inf
16,168.1937,12.969,1.9995,inf
17,177.8595,13.3364,2.0591,inf
18,186.7578,13.6659,2.1142,inf
19,195.2922,13.9747,2.1659,inf
20,203.45,14.2636,2.2131,inf
21,210.2214,14.499,2.252,inf
22,216.9041,14.7277,2.2916,inf
23,223.767,14.9588,2.3306,inf
24,231.1577,15.2039,2.3696,inf
25,238.4249,15.441,2.4149,inf
26,246.1887,15.6904,2.4598,inf
27,252.977,15.9052,2.5056,inf
28,259.8554,16.12,2.545,inf
29,267.0954,16.3431,2.5843,inf
30,275.4797,16.5976,2.629,inf
31,284.883,16.8785,2.6767,inf
32,294.2436,17.1535,2.7219,inf
33,304.3605,17.4459,2.7696,inf
34,314.0428,17.7213,2.815,inf
35,323.8683,17.9963,2.8604,inf
36,333.6962,18.2674,2.9051,inf
37,343.756,18.5407,2.9494,inf
38,353.9216,18.8128,2.9945,inf
39,363.6788,19.0704,3.0383,inf
40,372.9659,19.3123,3.0853,inf
41,382.1006,19.5474,3.1305,inf
42,390.2263,19.7541,3.1744,inf
43,398.5057,19.9626,3.2152,inf
44,406.8086,20.1695,3.2561,inf
45,415.0275,20.3722,3.2977,inf
46,424.1282,20.5944,3.3402,inf
47,432.9686,20.8079,3.3837,inf
48,441.0246,21.0006,3.4242,inf
49,448.4826,21.1774,3.4648,inf
50,456.273,21.3605,3.5042,inf
51,464.1704,21.5446,3.5464,inf
52,471.5068,21.7142,3.5882,inf
53,479.0274,21.8867,3.6298,inf
54,486.4428,22.0554,3.672,inf
55,493.6712,22.2187,3.7136,inf
56,500.6104,22.3743,3.7536,inf
57,507.359,22.5246,3.7944,inf
58,513.779,22.6667,3.836,inf
59,519.7958,22.799,3.8751,inf
60,525.5988,22.9259,3.9143,inf
